Company,Industry,Revenue ($M),Employees,Location
Company1,Edtech,8.49,184,"Austin, TX"
Company2,Marketing,2.42,69,"Chicago, IL"
Company3,Edtech,0.72,14,"Chicago, IL"
Company4,Edtech,2.96,16,"Seattle, WA"
Company5,Agritech,0.61,138,"Seattle, WA"
Company6,Edtech,6.84,101,"Boise, ID"
Company7,Marketing,4.13,199,"Boise, ID"
Company8,Logistics,4.05,142,"Austin, TX"
Company9,Healthtech,0.79,163,"New York, NY"
Company10,Edtech,2.21,25,"Boise, ID"
Company11,Healthtech,9.96,116,"Chicago, IL"
Company12,Logistics,0.72,73,"Los Angeles, CA"
Company13,Agritech,7.81,31,"Chicago, IL"
Company14,AI,8.92,123,"Los Angeles, CA"
Company15,E-commerce,9.32,26,"Seattle, WA"
Company16,Agritech,6.17,67,"Chicago, IL"
Company17,E-commerce,2.38,161,"Chicago, IL"
Company18,Fintech,2.04,104,"Boise, ID"
Company19,Fintech,7.81,155,"Miami, FL"
Company20,Marketing,7.52,45,"New York, NY"
Company21,Edtech,4.3,172,"Austin, TX"
Company22,Healthtech,9.69,42,"Chicago, IL"
Company23,Healthtech,7.79,87,"San Francisco, CA"
Company24,Fintech,9.98,20,"Boise, ID"
Company25,Fintech,8.11,197,"New York, NY"
Company26,Marketing,1.14,184,"Seattle, WA"
Company27,E-commerce,3.61,40,"Los Angeles, CA"
Company28,Edtech,1.59,81,"Seattle, WA"
Company29,Marketing,9.78,119,"Denver, CO"
Company30,Agritech,4.08,143,"Chicago, IL"
Company31,Logistics,1.94,148,"Los Angeles, CA"
Company32,Logistics,7.74,64,"Austin, TX"
Company33,Fintech,3.08,11,"Austin, TX"
Company34,Agritech,2.31,45,"Miami, FL"
Company35,Retail,6.93,44,"Seattle, WA"
Company36,Fintech,4.65,167,"New York, NY"
Company37,Healthtech,7.41,67,"Chicago, IL"
Company38,Healthtech,9.88,198,"San Francisco, CA"
Company39,E-commerce,4.37,18,"New York, NY"
Company40,E-commerce,0.89,123,"Boise, ID"
Company41,Retail,5.74,197,"Austin, TX"
Company42,AI,8.99,128,"Miami, FL"
Company43,Marketing,5.87,41,"Los Angeles, CA"
Company44,Logistics,4.29,124,"Los Angeles, CA"
Company45,Edtech,8.58,152,"New York, NY"
Company46,Agritech,3.8,21,"Boise, ID"
Company47,Edtech,5.48,177,"Denver, CO"
Company48,E-commerce,2.61,119,"Austin, TX"
Company49,Healthtech,7.74,71,"Boise, ID"
Company50,Fintech,7.09,62,"Los Angeles, CA"
Company51,Healthtech,8.56,32,"Denver, CO"
Company52,Healthtech,6.35,128,"Los Angeles, CA"
Company53,Edtech,5.33,144,"New York, NY"
Company54,Marketing,5.47,191,"Boise, ID"
Company55,AI,4.58,130,"San Francisco, CA"
Company56,AI,8.21,193,"Los Angeles, CA"
Company57,Edtech,7.41,117,"San Francisco, CA"
Company58,Agritech,9.72,108,"Denver, CO"
Company59,Marketing,2.97,67,"New York, NY"
Company60,Healthtech,8.33,61,"Boise, ID"
Company61,Marketing,0.88,110,"New York, NY"
Company62,Retail,8.62,62,"Chicago, IL"
Company63,Marketing,5.3,38,"Seattle, WA"
Company64,Edtech,3.97,54,"Denver, CO"
Company65,Marketing,9.96,115,"San Francisco, CA"
Company66,Retail,6.54,107,"Chicago, IL"
Company67,Retail,9.48,97,"Seattle, WA"
Company68,Healthtech,2.57,28,"New York, NY"
Company69,Edtech,2.5,19,"Miami, FL"
Company70,Retail,2.39,13,"Chicago, IL"
Company71,Marketing,4.71,83,"San Francisco, CA"
Company72,Healthtech,3.83,56,"Denver, CO"
Company73,Retail,2.65,94,"Los Angeles, CA"
Company74,Retail,3.81,55,"Seattle, WA"
Company75,E-commerce,3.83,60,"Boise, ID"
Company76,AI,4.02,99,"San Francisco, CA"
Company77,AI,3.16,37,"Seattle, WA"
Company78,E-commerce,4.02,176,"Los Angeles, CA"
Company79,AI,8.2,119,"Chicago, IL"
Company80,Agritech,5.69,52,"New York, NY"
Company81,Retail,1.65,159,"Austin, TX"
Company82,Retail,7.37,20,"Austin, TX"
Company83,Edtech,8.38,169,"Seattle, WA"
Company84,Healthtech,3.81,7,"Chicago, IL"
Company85,Edtech,7.55,74,"Boise, ID"
Company86,Logistics,7.28,44,"Los Angeles, CA"
Company87,Logistics,2.49,179,"San Francisco, CA"
Company88,Logistics,6.49,22,"Denver, CO"
Company89,E-commerce,5.64,49,"Seattle, WA"
Company90,Agritech,1.32,36,"Boise, ID"
Company91,Retail,4.67,57,"Austin, TX"
Company92,Edtech,7.63,20,"Chicago, IL"
Company93,Fintech,9.42,78,"Boise, ID"
Company94,Agritech,4.44,176,"New York, NY"
Company95,E-commerce,2.95,112,"Chicago, IL"
Company96,Fintech,9.87,5,"Seattle, WA"
Company97,E-commerce,2.81,30,"San Francisco, CA"
Company98,Marketing,8.89,168,"Boise, ID"
Company99,Healthtech,7.11,140,"Seattle, WA"
Company100,Healthtech,2.55,5,"Boise, ID"
Company101,Healthtech,9.38,168,"Austin, TX"
Company102,AI,8.63,146,"Boise, ID"
Company103,Healthtech,9.97,193,"Chicago, IL"
Company104,Logistics,6.64,45,"Denver, CO"
Company105,Fintech,5.31,82,"Miami, FL"
Company106,AI,2.28,114,"Seattle, WA"
Company107,Agritech,8.19,164,"San Francisco, CA"
Company108,E-commerce,9.89,59,"Miami, FL"
Company109,Agritech,5.46,65,"Austin, TX"
